--- Arvore geradora minima de 20---
20 ~> 577 | dist: 1.65
20 ~> 578 | dist: 2.29
20 ~> 579 | dist: 1.86
20 ~> 580 | dist: 2.35
20 ~> 581 | dist: 2.00
20 ~> 582 | dist: 2.12
20 ~> 583 | dist: 2.50
20 ~> 584 | dist: 2.30
20 ~> 585 | dist: 2.19
20 ~> 586 | dist: 1.73
20 ~> 587 | dist: 2.10
20 ~> 588 | dist: 1.43
20 ~> 589 | dist: 2.14
20 ~> 590 | dist: 1.61
20 ~> 591 | dist: 2.43
20 ~> 592 | dist: 1.58
20 ~> 593 | dist: 2.28
20 ~> 594 | dist: 2.16
20 ~> 595 | dist: 1.82
20 ~> 596 | dist: 2.05
20 ~> 597 | dist: 2.07
20 ~> 598 | dist: 2.44
20 ~> 599 | dist: 2.83
20 ~> 600 | dist: 2.05
20 ~> 601 | dist: 2.36
20 ~> 602 | dist: 2.37
20 ~> 603 | dist: 2.39
20 ~> 604 | dist: 1.27
20 ~> 605 | dist: 1.89
20 ~> 606 | dist: 2.48
20 ~> 607 | dist: 2.51
20 ~> 608 | dist: 1.93
20 ~> 609 | dist: 2.61
20 ~> 610 | dist: 1.74
20 ~> 611 | dist: 2.85
20 ~> 612 | dist: 2.45
20 ~> 613 | dist: 2.10
20 ~> 614 | dist: 1.51
20 ~> 615 | dist: 2.27
20 ~> 616 | dist: 1.15
20 ~> 617 | dist: 2.96
20 ~> 618 | dist: 2.76
20 ~> 619 | dist: 2.29
20 ~> 620 | dist: 1.88
20 ~> 621 | dist: 1.87
20 ~> 622 | dist: 2.20
20 ~> 623 | dist: 2.56
20 ~> 624 | dist: 2.69
20 ~> 625 | dist: 2.62
20 ~> 626 | dist: 2.41
20 ~> 627 | dist: 2.24
20 ~> 628 | dist: 1.97
20 ~> 629 | dist: 2.19
20 ~> 630 | dist: 1.71
20 ~> 631 | dist: 2.56
20 ~> 632 | dist: 1.78
20 ~> 633 | dist: 1.75
20 ~> 634 | dist: 2.06
20 ~> 635 | dist: 2.11
20 ~> 636 | dist: 1.70
20 ~> 637 | dist: 2.42
20 ~> 638 | dist: 2.61
20 ~> 639 | dist: 2.27
20 ~> 640 | dist: 2.11
20 ~> 641 | dist: 2.51
20 ~> 642 | dist: 2.97
20 ~> 643 | dist: 2.32
20 ~> 644 | dist: 2.43
20 ~> 645 | dist: 1.90
20 ~> 646 | dist: 2.23
20 ~> 647 | dist: 1.84
20 ~> 648 | dist: 1.87
20 ~> 649 | dist: 2.32
20 ~> 650 | dist: 2.63
20 ~> 651 | dist: 2.40
20 ~> 652 | dist: 2.29
20 ~> 653 | dist: 2.15
20 ~> 654 | dist: 2.61
20 ~> 655 | dist: 2.00
20 ~> 656 | dist: 1.63
20 ~> 657 | dist: 1.99
20 ~> 658 | dist: 2.06
20 ~> 659 | dist: 2.28
20 ~> 660 | dist: 2.01
20 ~> 661 | dist: 2.31
20 ~> 662 | dist: 2.15
20 ~> 663 | dist: 2.20
20 ~> 664 | dist: 2.37
20 ~> 665 | dist: 2.41
20 ~> 666 | dist: 1.79
20 ~> 667 | dist: 2.10
20 ~> 668 | dist: 3.03
20 ~> 669 | dist: 2.00
20 ~> 670 | dist: 2.09
20 ~> 671 | dist: 2.29
20 ~> 672 | dist: 2.48
20 ~> 673 | dist: 2.10
