--- Arvore geradora minima de 10---
10 ~> 638 | dist: 2.48
10 ~> 639 | dist: 2.29
10 ~> 640 | dist: 1.98
10 ~> 641 | dist: 2.04
10 ~> 642 | dist: 2.60
10 ~> 643 | dist: 2.24
10 ~> 644 | dist: 1.92
10 ~> 645 | dist: 2.20
10 ~> 646 | dist: 1.91
10 ~> 647 | dist: 2.24
10 ~> 648 | dist: 2.02
10 ~> 649 | dist: 2.57
10 ~> 650 | dist: 2.02
10 ~> 651 | dist: 3.03
10 ~> 652 | dist: 2.11
10 ~> 653 | dist: 1.92
10 ~> 654 | dist: 2.75
10 ~> 655 | dist: 1.05
10 ~> 656 | dist: 1.81
10 ~> 657 | dist: 1.96
10 ~> 658 | dist: 2.02
10 ~> 659 | dist: 2.65
10 ~> 660 | dist: 1.11
10 ~> 661 | dist: 2.50
10 ~> 662 | dist: 2.02
10 ~> 663 | dist: 2.06
10 ~> 664 | dist: 2.56
10 ~> 665 | dist: 1.76
10 ~> 666 | dist: 2.32
10 ~> 667 | dist: 1.79
10 ~> 668 | dist: 2.79
10 ~> 669 | dist: 2.06
10 ~> 670 | dist: 2.67
10 ~> 671 | dist: 2.25
10 ~> 672 | dist: 1.05
10 ~> 673 | dist: 1.96
10 ~> 674 | dist: 2.03
10 ~> 675 | dist: 1.98
10 ~> 676 | dist: 3.18
10 ~> 677 | dist: 1.49
10 ~> 678 | dist: 2.16
10 ~> 679 | dist: 1.62
10 ~> 680 | dist: 1.52
10 ~> 681 | dist: 1.77
10 ~> 682 | dist: 0.73
10 ~> 683 | dist: 1.79
10 ~> 684 | dist: 2.52
10 ~> 685 | dist: 2.21
10 ~> 686 | dist: 2.12
10 ~> 687 | dist: 2.22
10 ~> 688 | dist: 2.73
10 ~> 689 | dist: 2.81
10 ~> 690 | dist: 3.05
10 ~> 691 | dist: 2.59
10 ~> 692 | dist: 2.40
10 ~> 693 | dist: 2.44
10 ~> 694 | dist: 2.07
10 ~> 695 | dist: 2.25
10 ~> 696 | dist: 3.09
10 ~> 697 | dist: 2.07
10 ~> 698 | dist: 2.60
10 ~> 699 | dist: 2.08
10 ~> 700 | dist: 2.56
10 ~> 701 | dist: 2.73
10 ~> 702 | dist: 2.28
10 ~> 703 | dist: 2.13
10 ~> 704 | dist: 2.42
10 ~> 705 | dist: 2.01
10 ~> 706 | dist: 2.35
10 ~> 707 | dist: 1.05
10 ~> 708 | dist: 1.47
10 ~> 709 | dist: 2.09
10 ~> 710 | dist: 2.06
10 ~> 711 | dist: 1.96
10 ~> 712 | dist: 2.94
10 ~> 713 | dist: 2.09
10 ~> 714 | dist: 2.55
10 ~> 715 | dist: 2.37
10 ~> 716 | dist: 1.26
10 ~> 717 | dist: 2.19
10 ~> 718 | dist: 1.80
10 ~> 719 | dist: 2.20
