--- Arvore geradora minima de 1---
1 ~> 600 | dist: 1.37
1 ~> 601 | dist: 2.30
1 ~> 602 | dist: 2.01
1 ~> 603 | dist: 2.09
1 ~> 604 | dist: 2.37
1 ~> 605 | dist: 2.24
1 ~> 606 | dist: 2.73
1 ~> 607 | dist: 3.05
1 ~> 608 | dist: 2.71
1 ~> 609 | dist: 2.66
1 ~> 610 | dist: 2.01
1 ~> 611 | dist: 2.89
1 ~> 612 | dist: 2.70
1 ~> 613 | dist: 2.00
1 ~> 614 | dist: 2.24
1 ~> 615 | dist: 2.58
1 ~> 616 | dist: 1.51
1 ~> 617 | dist: 3.19
1 ~> 618 | dist: 3.41
1 ~> 619 | dist: 1.35
1 ~> 620 | dist: 1.84
1 ~> 621 | dist: 2.15
1 ~> 622 | dist: 1.88
1 ~> 623 | dist: 1.97
1 ~> 624 | dist: 2.97
1 ~> 625 | dist: 1.81
1 ~> 626 | dist: 2.96
1 ~> 627 | dist: 3.27
1 ~> 628 | dist: 2.00
1 ~> 629 | dist: 2.32
1 ~> 630 | dist: 1.52
1 ~> 631 | dist: 2.63
1 ~> 632 | dist: 1.97
1 ~> 633 | dist: 1.87
1 ~> 634 | dist: 2.26
1 ~> 635 | dist: 2.83
1 ~> 636 | dist: 2.84
1 ~> 637 | dist: 3.34
1 ~> 638 | dist: 2.41
1 ~> 639 | dist: 2.05
1 ~> 640 | dist: 1.74
1 ~> 641 | dist: 2.50
1 ~> 642 | dist: 1.98
1 ~> 643 | dist: 2.30
1 ~> 644 | dist: 2.27
1 ~> 645 | dist: 2.32
1 ~> 646 | dist: 2.18
1 ~> 647 | dist: 2.55
1 ~> 648 | dist: 2.11
1 ~> 649 | dist: 2.55
1 ~> 650 | dist: 2.48
1 ~> 651 | dist: 2.43
1 ~> 652 | dist: 2.59
1 ~> 653 | dist: 1.73
1 ~> 654 | dist: 0.65
1 ~> 655 | dist: 0.43
1 ~> 656 | dist: 1.65
1 ~> 657 | dist: 2.42
1 ~> 658 | dist: 2.22
1 ~> 659 | dist: 2.44
1 ~> 660 | dist: 1.57
1 ~> 661 | dist: 2.66
1 ~> 662 | dist: 1.78
1 ~> 663 | dist: 2.60
1 ~> 664 | dist: 2.71
1 ~> 665 | dist: 1.67
1 ~> 666 | dist: 2.63
1 ~> 667 | dist: 1.88
1 ~> 668 | dist: 2.81
1 ~> 669 | dist: 2.39
1 ~> 670 | dist: 2.17
1 ~> 671 | dist: 2.50
1 ~> 672 | dist: 2.30
1 ~> 673 | dist: 1.96
1 ~> 674 | dist: 2.49
1 ~> 675 | dist: 2.09
1 ~> 676 | dist: 3.28
1 ~> 677 | dist: 1.95
1 ~> 678 | dist: 2.14
1 ~> 679 | dist: 1.88
1 ~> 680 | dist: 1.98
1 ~> 681 | dist: 1.75
1 ~> 682 | dist: 1.19
1 ~> 683 | dist: 2.04
1 ~> 684 | dist: 2.55
1 ~> 685 | dist: 1.46
1 ~> 686 | dist: 1.80
1 ~> 687 | dist: 2.19
1 ~> 688 | dist: 3.00
1 ~> 689 | dist: 2.63
1 ~> 690 | dist: 2.57
1 ~> 691 | dist: 2.11
1 ~> 692 | dist: 2.86
1 ~> 693 | dist: 2.50
1 ~> 694 | dist: 1.48
1 ~> 695 | dist: 2.44
1 ~> 696 | dist: 2.95
1 ~> 697 | dist: 1.69
1 ~> 698 | dist: 2.55
1 ~> 699 | dist: 2.26
1 ~> 700 | dist: 1.98
1 ~> 701 | dist: 1.93
1 ~> 702 | dist: 2.50
1 ~> 703 | dist: 1.76
1 ~> 704 | dist: 2.33
1 ~> 705 | dist: 2.47
1 ~> 706 | dist: 2.55
1 ~> 707 | dist: 2.12
1 ~> 708 | dist: 1.73
1 ~> 709 | dist: 2.38
1 ~> 710 | dist: 2.82
1 ~> 711 | dist: 2.12
1 ~> 712 | dist: 2.34
1 ~> 713 | dist: 2.27
1 ~> 714 | dist: 3.01
1 ~> 715 | dist: 2.51
1 ~> 716 | dist: 2.39
1 ~> 717 | dist: 2.28
1 ~> 718 | dist: 2.26
1 ~> 719 | dist: 2.03
1 ~> 720 | dist: 2.31
1 ~> 721 | dist: 2.50
1 ~> 722 | dist: 2.21
1 ~> 723 | dist: 2.56
1 ~> 724 | dist: 1.93
1 ~> 725 | dist: 2.12
1 ~> 726 | dist: 2.41
1 ~> 727 | dist: 2.54
1 ~> 728 | dist: 2.38
1 ~> 729 | dist: 2.27
1 ~> 730 | dist: 2.24
1 ~> 731 | dist: 1.63
1 ~> 732 | dist: 1.97
1 ~> 733 | dist: 1.83
1 ~> 734 | dist: 2.60
1 ~> 735 | dist: 1.70
1 ~> 736 | dist: 2.08
1 ~> 737 | dist: 1.93
1 ~> 738 | dist: 2.50
1 ~> 739 | dist: 2.29
1 ~> 740 | dist: 1.67
1 ~> 741 | dist: 2.26
1 ~> 742 | dist: 3.47
1 ~> 743 | dist: 2.71
1 ~> 744 | dist: 2.22
1 ~> 745 | dist: 2.19
1 ~> 746 | dist: 2.33
1 ~> 747 | dist: 3.57
1 ~> 748 | dist: 2.03
1 ~> 749 | dist: 2.51
1 ~> 750 | dist: 1.66
1 ~> 751 | dist: 1.31
1 ~> 752 | dist: 2.47
1 ~> 753 | dist: 2.72
1 ~> 754 | dist: 2.13
1 ~> 755 | dist: 2.19
1 ~> 756 | dist: 2.63
1 ~> 757 | dist: 2.31
1 ~> 758 | dist: 2.34
1 ~> 759 | dist: 2.46
1 ~> 760 | dist: 2.45
1 ~> 761 | dist: 2.22
1 ~> 762 | dist: 2.63
1 ~> 763 | dist: 2.17
1 ~> 764 | dist: 2.16
1 ~> 765 | dist: 2.24
1 ~> 766 | dist: 2.21
1 ~> 767 | dist: 2.05
1 ~> 768 | dist: 2.49
1 ~> 769 | dist: 3.01
1 ~> 770 | dist: 2.13
1 ~> 771 | dist: 3.31
1 ~> 772 | dist: 1.69
1 ~> 773 | dist: 2.10
1 ~> 774 | dist: 1.89
1 ~> 775 | dist: 2.21
1 ~> 776 | dist: 2.29
1 ~> 777 | dist: 2.36
1 ~> 778 | dist: 1.84
1 ~> 779 | dist: 2.35
1 ~> 780 | dist: 2.81
1 ~> 781 | dist: 2.60
1 ~> 782 | dist: 2.20
1 ~> 783 | dist: 2.50
1 ~> 784 | dist: 2.72
1 ~> 785 | dist: 2.36
1 ~> 786 | dist: 2.13
1 ~> 787 | dist: 2.87
1 ~> 788 | dist: 2.27
1 ~> 789 | dist: 2.28
1 ~> 790 | dist: 1.64
1 ~> 791 | dist: 2.84
1 ~> 792 | dist: 1.72
1 ~> 793 | dist: 2.72
1 ~> 794 | dist: 2.27
1 ~> 795 | dist: 3.02
1 ~> 796 | dist: 2.37
1 ~> 797 | dist: 2.51
1 ~> 798 | dist: 2.82
1 ~> 799 | dist: 2.13
1 ~> 800 | dist: 2.31
1 ~> 801 | dist: 1.80
1 ~> 802 | dist: 2.57
1 ~> 803 | dist: 2.10
1 ~> 804 | dist: 2.72
1 ~> 805 | dist: 1.56
1 ~> 806 | dist: 2.38
1 ~> 807 | dist: 2.10
1 ~> 808 | dist: 3.02
1 ~> 809 | dist: 2.00
1 ~> 810 | dist: 2.23
1 ~> 811 | dist: 1.96
1 ~> 812 | dist: 2.19
1 ~> 813 | dist: 1.75
1 ~> 814 | dist: 2.51
1 ~> 815 | dist: 2.50
1 ~> 816 | dist: 2.58
1 ~> 817 | dist: 2.25
1 ~> 818 | dist: 2.08
